,MAE,Model,Features
3541,0.2521791370373763,NMF->RF,All_features
1693,0.2521813930370608,NMF->RF,All_features
1024,0.25218812409156993,NMF->RF,All_features
1297,0.2521918041454863,NMF->RF,All_features
3196,0.25220433482247434,NMF->RF,All_features
2362,0.2522138499614835,NMF->RF,All_features
1176,0.25221583776408146,NMF->RF,All_features
1288,0.2522167978438545,NMF->RF,All_features
748,0.2522169850001283,RF,All_features
3268,0.2522231561142468,NMF->RF,All_features
3557,0.2522235527831002,NMF->RF,All_features
2402,0.25222870774864825,NMF->RF,All_features
322,0.2522326468019219,NMF->DT (MF),All_features
530,0.25225418481763345,RF,All_features
672,0.2522543140321287,RF,All_features
1471,0.252257367033275,NMF->RF,All_features
3702,0.25226468670082997,NMF->RF,All_features
299,0.2522838897121419,RF,Theory_features
189,0.2523114992780809,NMF->DT (MF),All_features
19,0.25231283264002363,NMF->DT (MF),All_features
3585,0.25232609665489125,NMF->RF,All_features
639,0.25232858713130435,RF,Theory_features
3733,0.2523308398820058,NMF->RF,All_features
1727,0.25233329671840576,NMF->RF,All_features
422,0.252339678064775,RF,All_features
2006,0.2523420965414749,NMF->RF,All_features
3819,0.2523446780398235,NMF->RF,All_features
699,0.25235288256637584,NMF->DT (MF),All_features
